Number,Biome,GEZ_TERM,Region,Site,Species/forest type,Latitude,Longitude,"Mean annual temperature, °C","Mean annual precipitation, mm","Above-ground biomass carbon density (BCDa), Mg C ha-1","Living biomass carbon density (BCDl), Mg C ha-1","Total biomass carbon density (BCDt), Mg C ha-1",Stand age,BCDa/BCDl,BCDa/BCDt,Reference 1,Method used to determine tree age,Reference 2,Reference 3,Reference 4,
121,Boreal,Boreal coniferous forest,Asia,"China, Daxing’anling",Larix gmelinii,50.68 ,121.84 ,-4.0 ,425 ,31.0 ,,,,,,"Keith et al., 2009",,,,,
122,Boreal,Boreal coniferous forest,Asia,"China, Daxing’anling",Larix gmelinii-Ledum,52.73 ,123.83 ,-3.0 ,425 ,28.0 ,,,,,,"Keith et al., 2009",,,,,
123,Boreal,Boreal coniferous forest,Asia,"China, Daxing’anling",Larix gmelinii-grass,52.73 ,123.83 ,-3.0 ,425 ,30.0 ,,,,,,"Keith et al., 2009",,,,,
124,Boreal,Boreal coniferous forest,Asia,"China, Daxing’anling",Larix gmelinii-Rhododendron,52.73 ,123.83 ,-3.0 ,425 ,93.0 ,,,,,,"Keith et al., 2009",,,,,
125,Temperate,Temperate mountain system,North America ,"Colorado, Rocky Mt. NP","Picea engelmannii, Abies lasiocarpa",40.28 ,-105.63 ,1.5 ,1000 ,124.0 ,,289.0 ,,,0.43 ,"Keith et al., 2009",,,,,
126,Temperate,Temperate oceanic forest,South America,"Cordillera de Piuchue, Chile","Philgerodendron uviferum, Tepualia stipularis",-42.5 ,-74.00 ,7.2 ,5000 ,146.0 ,,326.0 ,,,0.45 ,"Keith et al., 2009",,,,,
127,Temperate,Temperate oceanic forest,South America,"Cordillera de Piuchue, Chile","Nothofagus dombeyi, Drimys winteri, Laureliopsis philippiana",-42.50 ,-74.00 ,7.2 ,5000 ,179.0 ,,395.0 ,,,0.45 ,"Keith et al., 2009",,,,,
128,Temperate,Temperate oceanic forest,South America,"Cordillera de Piuchue, Chile",Fitzroya cupressoides,-42.50 ,-74.00 ,7.2 ,5000 ,268.0 ,,450.0 ,,,0.60 ,"Keith et al., 2009",,,,,
129,Tropical,Tropical mountain system,South America,"Eastern Andean Mts., Ecuador",Polylepis incana,-0.22 ,-78.05 ,7.2 ,1500 ,163.0 ,,,,,,"Keith et al., 2009",,,,,
130,Tropical,Tropical rainforest,Central America   ,Eastern Jamaica,,18.00 ,-77.00 ,24.4 ,1685 ,204.0 ,,204.0 ,,,,"Keith et al., 2009",,,,,
131,Temperate,Temperate mountain system,North America,Eastern Oregon,Pinus ponderosa-Pinus contorta,43.70 ,-121.60 ,6.2 ,497 ,85.0 ,,157.0 ,,,0.54 ,"Keith et al., 2009",,,,,
132,Tropical,Tropical rainforest,South America,French Guiana,,4.75 ,-53.00 ,25.8 ,2757 ,155.0 ,,,,,,"Keith et al., 2009",,,,,
133,Temperate,Temperate continental forest,Europe,"Fyedorovskoye, European Russia",Picea abies,56.45 ,32.92 ,3.6 ,714 ,95.0 ,,,,,,"Keith et al., 2009",,,,,
134,Temperate,Temperate oceanic forest,Australasia ,"Gippsland, Aust","E. fastigata, E. obliqua, E. cypellocarpa",-37.28 ,149.15 ,10.4 ,1165 ,310.0 ,,489.0 ,,,0.63 ,"Keith et al., 2009",,,,,
135,Temperate,Temperate mountain system,North America,Great Smoky Mt.,,35.67 ,-83.38 ,10.3 ,1744 ,199.0 ,,,,,,"Keith et al., 2009",,,,,
136,Temperate,Temperate continental forest,North America,Illinois,"Carya ovata, Quercus velutina",37.52 ,-89.32 ,14.4 ,1270 ,131.0 ,,,,,,"Keith et al., 2009",,,,,
137,Temperate,Temperate continental forest,North America,Indiana,"Quercus shumardii, Liquidamber styraciflua",39.83 ,-86.18 ,11.0 ,1028 ,117.0 ,,,,,,"Keith et al., 2009",,,,,
138,Boreal,Boreal coniferous forest,Asia,Irkutsk,Pinus sylvestris,53.00 ,103.00 ,-1.2 ,470 ,71.0 ,,,,,,"Keith et al., 2009",,,,,
139,Boreal,Boreal coniferous forest,Europe,"Jädraås, Sweden",Pinus sylvestris,60.82 ,16.50 ,3.0 ,731 ,29.0 ,,,,,,"Keith et al., 2009",,,,,
140,Boreal,Boreal coniferous forest,Europe,"Kangasvaara, eastern Finland","Picea abies, Pinus sylvestis, Betula pubescens, Populus tremula",63.85 ,28.97 ,1.2 ,709 ,82.0 ,,123.0 ,,,0.67 ,"Keith et al., 2009",,,,,
141,Temperate,Temperate continental forest,North America,Kentucky,"Fagus grandifolia, Quercus alba",37.72 ,-83.80 ,12.7 ,1230 ,165.0 ,,,,,,"Keith et al., 2009",,,,,
142,Tropical,Tropical rainforest,Asia,"Khao Chong, peninsular Thailand",,7.50 ,99.80 ,27.2 ,2700 ,182.0 ,,,,,,"Keith et al., 2009",,,,,
143,Boreal,Boreal coniferous forest,Asia,"Koinas, Russia",Picea abies,64.67 ,47.50 ,-1.2 ,499 ,66.0 ,,,,,,"Keith et al., 2009",,,,,
144,Tropical,Tropical rainforest,Central America ,"La Selva Biological Station, Costa Rica",,9.85 ,-83.60 ,26.0 ,4000 ,87.0 ,,,,,,"Keith et al., 2009",,,,,
145,Temperate,Temperate continental forest,Europe,Lithuania,Pinus sylvestris,55.42 ,26.02 ,6.0 ,760 ,75.0 ,,133.0 ,,,0.56 ,"Keith et al., 2009",,,,,
146,Boreal,Boreal coniferous forest,Europe,"Llomantsi, Finland","Picea abies, Pinus sylvestis, Betula pubescens",62.85 ,30.88 ,1.7 ,640 ,25.0 ,,,,,,"Keith et al., 2009",,,,,
147,Tropical,Tropical moist deciduous forest,Central America   ,"Luquillo, Puerto Rico",Prestoea montana,18.42 ,-65.92 ,19.7 ,1885 ,224.0 ,,298.0 ,,,0.75 ,"Keith et al., 2009",,,,,
148,Temperate,Temperate oceanic forest,Australasia ,"Maimai, South Island NZ","Nothofagus truncata, Podocarpus ferrugineus",-42.16 ,171.75 ,10.9 ,2600 ,153.0 ,,352.0 ,,,0.43 ,"Keith et al., 2009",,,,,
149,Tropical,Tropical rainforest,South America,"Manaus, Central Amazon",,-2.50 ,-60.00 ,26.7 ,2200 ,162.0 ,,,,,,"Keith et al., 2009",,,,,
150,Tropical,Tropical rainforest,South America,"Manaus, Central Amazon",,-2.97 ,-60.18 ,26.7 ,2285 ,180.0 ,,,,,,"Keith et al., 2009",,,,,
151,Tropical,Tropical moist deciduous forest,South America,"Manaus, Central Amazon, Brazil",,3.10 ,-60.03 ,27.4 ,1571 ,237.0 ,,399.0 ,,,0.59 ,"Keith et al., 2009",,,,,
152,Tropical,Tropical mountain system,Asia,"Marafunga, New Guinea",,-6.00 ,145.18 ,13.0 ,4000 ,387.0 ,,,,,,"Keith et al., 2009",,,,,
153,Temperate,Temperate mountain system,Australasia ,"montane, south east Aust.",E. delegatensis,-35.37 ,148.83 ,10.3 ,1185 ,199.0 ,,333.0 ,,,0.60 ,"Keith et al., 2009",,,,,
154,Temperate,Temperate oceanic forest,Australasia ,"Nelson, South Island NZ",Nothofagus truncata,-41.52 ,172.75 ,10.5 ,1307 ,166.0 ,,289.0 ,,,0.57 ,"Keith et al., 2009",,,,,
155,Boreal,Boreal mountain system,Europe,northern Finland,Pinus sylvestris,69.73 ,27.02 ,-1.0 ,450 ,14.0 ,,54.0 ,,,0.26 ,"Keith et al., 2009",,,,,
156,Subtropical,Subtropical humid forest,Australasia ,"northern NSW, Aust.",E. pilularis,-30.33 ,152.64 ,15.2 ,1467 ,298.0 ,,477.0 ,,,0.62 ,"Keith et al., 2009",,,,,
157,Subtropical,Subtropical humid forest,Australasia ,"northern NSW, Aust.","Caldluvia paniculosa, Geissois benthami",-28.50 ,153.00 ,18.9 ,1192 ,182.0 ,,252.0 ,,,0.72 ,"Keith et al., 2009",,,,,
158,Tropical,Tropical rainforest,South America,Northern Rôndonia State,,-8.75 ,-63.38 ,26.2 ,2300 ,143.0 ,,163.0 ,,,0.88 ,"Keith et al., 2009",,,,,
159,Temperate,Temperate mountain system,Australasia ,"NSW south coast, Aust.","E. fastigata, E. sieberi, Corymbia maculata",-35.60 ,149.88 ,10.8 ,1090 ,270.0 ,,487.0 ,,,0.55 ,"Keith et al., 2009",,,,,
160,Temperate,Temperate oceanic forest,Australasia ,"NSW south coast, Aust.","E. sieberi, E. agglomerata, E. obliqua",-37.00 ,149.50 ,11.2 ,1051 ,218.0 ,,319.0 ,,,0.68 ,"Keith et al., 2009",,,,,
161,Temperate,Temperate oceanic forest,Australasia ,"NSW south coast, Aust.","E. fastigata, E. sieberi, Corymbia maculata",-35.47 ,150.11 ,13.8 ,1097 ,447.0 ,,615.0 ,,,0.73 ,"Keith et al., 2009",,,,,
162,Temperate,Temperate mountain system,North America,Oregon,Abies amabilis; Pseudotsuga menziesii,44.00 ,-122.67 ,10.1 ,1789 ,440.0 ,,514.0 ,,,0.86 ,"Keith et al., 2009",,,,,
163,Temperate,Temperate mountain system,North America ,Oregon Cascades,Pseudotsuga menziesii,44.20 ,-122.20 ,8.4 ,2002 ,432.0 ,,707.0 ,,,0.61 ,"Keith et al., 2009",,,,,
164,Temperate,Temperate mountain system,North America ,Oregon Cascades,Pseudotsuga menziesii,44.00 ,-122.50 ,8.5 ,2300 ,356.0 ,,568.0 ,,,0.63 ,"Keith et al., 2009",,,,,
165,Temperate,Temperate mountain system,North America ,Oregon Cascades,Pseudotsuga menziesii,44.00 ,-122.50 ,8.5 ,2300 ,587.0 ,,794.0 ,,,0.74 ,"Keith et al., 2009",,,,,
166,Temperate,Temperate mountain system,North America,Oregon Cascades,Pseudotsuga menziesii,44.00 ,-122.50 ,10.1 ,1789 ,331.0 ,,526.0 ,,,0.63 ,"Keith et al., 2009",,,,,
167,Temperate,Temperate mountain system,North America,Oregon coast,Tsuga heterophylla-Picea sitchensis,45.00 ,-123.93 ,10.1 ,3115 ,436.0 ,,626.0 ,,,0.70 ,"Keith et al., 2009",,,,,
168,Temperate,Temperate mountain system,North America,"Oregon, Waldo Lake","Tsuga mertensiana, Pinus contorta, Pinus monticola",43.50 ,-122.00 ,4.6 ,404 ,158.0 ,,202.0 ,,,0.78 ,"Keith et al., 2009",,,,,
169,Boreal,Boreal coniferous forest,Europe,"Oulu, Finland",Picea excels,66.37 ,29.00 ,0.0 ,500 ,51.0 ,,,,,,"Keith et al., 2009",,,,,
170,Tropical,Tropical rainforest,Asia,"Pasoh FR, Negeri Sembilan, Malaysia",,2.97 ,102.30 ,28.0 ,1842 ,215.0 ,,,,,,"Keith et al., 2009",,,,,
171,Tropical,Tropical moist deciduous forest,Asia,"Ping Kong, northwestern Thailand",,19.50 ,99.00 ,24.0 ,1364 ,146.0 ,,,,,,"Keith et al., 2009",,,,,
172,Tropical,Tropical rainforest,South America,"Rio Branco, western Amazon",,-10.12 ,-68.00 ,25.0 ,1940 ,95.0 ,,,,,,"Keith et al., 2009",,,,,
173,Tropical,Tropical rainforest,South America,"Rio Negro, Venezuela",,1.93 ,-67.05 ,24.9 ,3500 ,117.0 ,,159.0 ,,,0.74 ,"Keith et al., 2009",,,,,
174,Tropical,Tropical rainforest,South America,Rondonia,,-9.20 ,-60.05 ,25.2 ,2354 ,195.0 ,,,,,,"Keith et al., 2009",,,,,
175,Boreal,Boreal coniferous forest,Europe,"Rovaniemi, northern Finland","Pinus sylvestris, Picea abies, Betula pendula, B. pubescens",66.34 ,25.50 ,0.5 ,591 ,77.0 ,,116.0 ,,,0.66 ,"Keith et al., 2009",,,,,
176,Tropical,Tropical rainforest,South America,"San Carlos, Venezuela",,1.92 ,-67.07 ,26.0 ,3600 ,138.0 ,,350.0 ,,,0.39 ,"Keith et al., 2009",,,,,
177,Tropical,Tropical rainforest,South America,"San Carlos, Venezuela",,1.92 ,-67.07 ,26.0 ,3600 ,182.0 ,,320.0 ,,,0.57 ,"Keith et al., 2009",,,,,
178,Temperate,Temperate oceanic forest,South America,"San Pablo de Tregua, Andes,",Laureliopsis philippiana,-39.63 ,-72.08 ,9.7 ,2400 ,332.0 ,,428.0 ,,,0.78 ,"Keith et al., 2009",,,,,
179,Temperate,Temperate oceanic forest,South America,"San Pablo de Tregua, Andes,",Nothofagus dombeyi,-39.63 ,-72.08 ,9.7 ,2400 ,439.0 ,,571.0 ,,,0.77 ,"Keith et al., 2009",,,,,
180,Boreal,Boreal coniferous forest,North America,"Saskatchewan, Canada, BOREAS SSA",Pinus banksiana,53.99 ,-104.99 ,-1.1 ,405 ,35.0 ,,63.0 ,,,0.56 ,"Keith et al., 2009",,,,,
181,Boreal,Boreal coniferous forest,North America,"Saskatchewan, Canada, BOREAS SSA",Populus tremuloides,53.99 ,-104.99 ,-1.1 ,405 ,93.0 ,,136.0 ,,,0.68 ,"Keith et al., 2009",,,,,
182,Boreal,Boreal coniferous forest,North America,"Saskatchewan, Canada, BOREAS-SSA",Picea marina,53.99 ,-104.99 ,-1.1 ,405 ,49.0 ,,66.0 ,,,0.74 ,"Keith et al., 2009",,,,,
183,Tropical,Tropical rainforest,Asia,"Sebulu, East Kalimantan, Indonesia",,-1.50 ,116.97 ,27.0 ,1862 ,254.0 ,,,,,,"Keith et al., 2009",,,,,
184,Tropical,Tropical rainforest,Asia,"Sebulu, East Kalimantan, Indonesia",,-1.50 ,116.97 ,27.0 ,1862 ,436.0 ,,,,,,"Keith et al., 2009",,,,,
185,Temperate,Temperate mountain system,North America,Southern Appalachians,,35.68 ,-83.42 ,12.7 ,1306 ,236.0 ,,,,,,"Keith et al., 2009",,,,,
186,Boreal,Boreal coniferous forest,Europe,Southern Finland,Pinus sylvestris,61.65 ,29.28 ,4.0 ,550 ,28.0 ,,64.0 ,,,0.44 ,"Keith et al., 2009",,,,,
187,Temperate,Temperate oceanic forest,Australasia ,"southern NSW & Vict., Aust.","E. bridgesiana, E. cypellocarpa, E. muellerana",-37.26 ,148.71 ,11.2 ,1041 ,294.0 ,,433.0 ,,,0.68 ,"Keith et al., 2009",,,,,
188,Temperate,Temperate continental forest,Europe,southern Poland,Pinus sylvestris,50.47 ,22.98 ,8.0 ,600 ,68.0 ,,143.0 ,,,0.48 ,"Keith et al., 2009",,,,,
189,Subtropical,Subtropical humid forest,Australasia ,"southern Qld., Aust.",Argyrodendron,-27.33 ,152.75 ,17.0 ,1448 ,224.0 ,,310.0 ,,,0.72 ,"Keith et al., 2009",,,,,
190,Temperate,Temperate oceanic forest,Australasia,"southern Tasmania, Aust.",E. regnans,-42.83 ,146.57 ,8.6 ,1503 ,752.0 ,,1302.0 ,,,0.58 ,"Keith et al., 2009",,,,,
191,Temperate,Temperate oceanic forest,Australasia,"southern Tasmania, Aust.",E. obliqua,-43.21 ,146.70 ,9.8 ,1722 ,444.0 ,,673.0 ,,,0.66 ,"Keith et al., 2009",,,,,
192,Temperate,Temperate oceanic forest,Australasia,"southern Tasmania, Aust.",E. obliqua,-43.09 ,146.70 ,9.9 ,1490 ,668.0 ,,956.0 ,,,0.70 ,"Keith et al., 2009",,,,,
193,Boreal,Boreal coniferous forest,Europe,"Tampere, southern Finland","Pinus sylvestris, Picea abies, Betula pendula, B. pubescens",61.28 ,23.44 ,4.0 ,548 ,102.0 ,,153.0 ,,,0.67 ,"Keith et al., 2009",,,,,
194,Tropical,Tropical moist deciduous forest,South America,"Tapajos NF, Brazil",,3.04 ,-54.95 ,25.0 ,2000 ,141.0 ,,202.0 ,,,0.70 ,"Keith et al., 2009",,,,,
195,Tropical,Tropical rainforest,South America,"Tapajos, Central Amazon",,-2.85 ,-54.97 ,24.5 ,1909 ,141.0 ,,,,,,"Keith et al., 2009",,,,,
196,Tropical,Tropical rainforest,South America,"Tapajos, Central Amazon",,-2.85 ,-54.97 ,25.0 ,1920 ,153.0 ,,161.0 ,,,0.95 ,"Keith et al., 2009",,,,,
197,Tropical,Tropical dry forest,Asia,"Thong Pha Phum NF, Thailand",,14.67 ,98.68 ,25.0 ,1650 ,48.0 ,,,,,,"Keith et al., 2009",,,,,
198,Tropical,Tropical dry forest,Asia,"Thong Pha Phum NF, Thailand",,14.67 ,98.68 ,25.0 ,1650 ,70.0 ,,,,,,"Keith et al., 2009",,,,,
199,Tropical,Tropical dry forest,Asia,"Thong Pha Phum NF, Thailand",,14.67 ,98.68 ,25.0 ,1650 ,138.0 ,,,,,,"Keith et al., 2009",,,,,
200,Boreal,Boreal mountain system,Asia,Tura,Larix gmelinii,64.32 ,100.22 ,-9.5 ,322 ,11.0 ,,,,,,"Keith et al., 2009",,,,,
201,Tropical,Tropical rainforest,Asia,"Ulu Segama FR, Sabah, Malysia  ",,5.00 ,117.50 ,26.7 ,2700 ,165.0 ,,,,,,"Keith et al., 2009",,,,,
202,Tropical,Tropical dry forest,South America,Venezuela,,10.50 ,-71.00 ,10.5 ,1968 ,157.0 ,,211.0 ,,,0.74 ,"Keith et al., 2009",,,,,
203,Tropical,Tropical moist deciduous forest,South America,Venezuela,,9.50 ,-71.00 ,15.0 ,1487 ,173.0 ,,235.0 ,,,0.74 ,"Keith et al., 2009",,,,,
204,Tropical,Tropical moist deciduous forest,South America,Venezuela,,9.00 ,-64.00 ,25.5 ,2850 ,179.0 ,,227.0 ,,,0.79 ,"Keith et al., 2009",,,,,
205,Tropical,Tropical mountain system,South America,Venezuela,,9.50 ,-70.00 ,26.0 ,1500 ,148.0 ,,178.0 ,,,0.83 ,"Keith et al., 2009",,,,,
206,Tropical,Tropical moist deciduous forest,South America,Venezuela,,10.00 ,-66.00 ,27.0 ,800 ,70.0 ,,111.0 ,,,0.63 ,"Keith et al., 2009",,,,,
207,Temperate,Temperate oceanic forest,Europe,"Waldstein, Germany",Picea abies,50.15 ,11.87 ,5.8 ,1100 ,105.0 ,,,,,,"Keith et al., 2009",,,,,
208,Temperate,Temperate oceanic forest,North America,Washington,"Abies amabilis, Pseudotsuga menziesii",47.00 ,-122.67 ,10.1 ,1789 ,422.0 ,,496.0 ,,,0.85 ,"Keith et al., 2009",,,,,
209,Temperate,Temperate mountain system,North America,Washington,Pseudotsuga menziesii,46.00 ,-122.00 ,12.5 ,1000 ,278.0 ,,473.0 ,,,0.59 ,"Keith et al., 2009",,,,,
210,Temperate,Temperate mountain system,North America ,Washington Cascades,Abies amabilis,46.80 ,-121.70 ,5.4 ,2700 ,224.0 ,,781.0 ,,,0.29 ,"Keith et al., 2009",,,,,
211,Temperate,Temperate mountain system,North America ,Washington Cascades,"Abies amabilis, Tsuga heterophylla",46.80 ,-121.70 ,6.4 ,2375 ,380.0 ,,636.0 ,,,0.60 ,"Keith et al., 2009",,,,,
212,Temperate,Temperate mountain system,North America ,Washington coast,"Tsuga heterophylla, Picea sitchensis",47.70 ,-123.90 ,8.5 ,3356 ,364.0 ,,624.0 ,,,0.58 ,"Keith et al., 2009",,,,,
213,Temperate,Temperate continental forest,North America,Wisconsin,"Tsuga canadensis, Pinus strobus",45.50 ,-89.33 ,5.3 ,800 ,286.0 ,,476.0 ,,,0.60 ,"Keith et al., 2009",,,,,
214,Boreal,Boreal coniferous forest,Asia,Yakutsk,Larix gmellinii,60.85 ,128.27 ,-10.0 ,213 ,55.0 ,,,,,,"Keith et al., 2009",,,,,
215,Boreal,Boreal coniferous forest,Asia,Yakutsk,Larix gmelinii,60.85 ,128.27 ,-9.6 ,213 ,18.0 ,,,,,,"Keith et al., 2009",,,,,
216,Tropical,Tropical rainforest,Africa,Cameroon,,3.33 ,12.76 ,23.5 ,1623 ,149.8 ,,,,,,"Lewis et al., 2009",,,,,
217,Tropical,Tropical rainforest,Africa,Cameroon,,3.32 ,12.87 ,23.3 ,1630 ,151.2 ,,,,,,"Lewis et al., 2009",,,,,
218,Tropical,Tropical rainforest,Africa,Cameroon,,3.28 ,12.87 ,23.3 ,1632 ,208.2 ,,,,,,"Lewis et al., 2009",,,,,
219,Tropical,Tropical rainforest,Africa,Cameroon,,3.15 ,12.57 ,23.6 ,1628 ,220.8 ,,,,,,"Lewis et al., 2009",,,,,
220,Tropical,Tropical rainforest,Africa,Cameroon,,3.33 ,12.87 ,23.3 ,1630 ,221.4 ,,,,,,"Lewis et al., 2009",,,,,
221,Tropical,Tropical rainforest,Africa,Cameroon,,3.30 ,12.87 ,23.3 ,1631 ,241.0 ,,,,,,"Lewis et al., 2009",,,,,
222,Tropical,Tropical rainforest,Africa,Cameroon,,2.19 ,9.92 ,25.0 ,2434 ,251.3 ,,,,,,"Lewis et al., 2009",,,,,
223,Tropical,Tropical rainforest,Africa,Cameroon,,3.32 ,12.76 ,23.6 ,1623 ,284.0 ,,,,,,"Lewis et al., 2009",,,,,
224,Tropical,Tropical rainforest,Africa,Cameroon,,3.36 ,12.73 ,23.7 ,1619 ,147.7 ,,,,,,"Lewis et al., 2009",,,,,
225,Tropical,Tropical rainforest,Africa,Cameroon,,3.33 ,12.72 ,23.6 ,1622 ,188.4 ,,,,,,"Lewis et al., 2009",,,,,
226,Tropical,Tropical rainforest,Africa,Cameroon,,2.85 ,13.33 ,23.7 ,1617 ,209.8 ,,,,,,"Lewis et al., 2009",,,,,
227,Tropical,Tropical rainforest,Africa,Cameroon,,3.08 ,13.58 ,23.3 ,1631 ,260.4 ,,,,,,"Lewis et al., 2009",,,,,
228,Tropical,Tropical rainforest,Africa,Cameroon,,3.33 ,12.72 ,23.5 ,1623 ,265.5 ,,,,,,"Lewis et al., 2009",,,,,
229,Tropical,Tropical rainforest,Africa,Cameroon,,3.36 ,12.72 ,23.6 ,1621 ,268.4 ,,,,,,"Lewis et al., 2009",,,,,
230,Tropical,Tropical rainforest,Africa,Cameroon,,2.85 ,13.33 ,23.7 ,1617 ,386.0 ,,,,,,"Lewis et al., 2009",,,,,
231,Tropical,Tropical rainforest,Africa,Cameroon,,2.36 ,9.93 ,25.1 ,2588 ,266.9 ,,,,,,"Lewis et al., 2009",,,,,
232,Tropical,Tropical rainforest,Africa,Cameroon,,2.42 ,9.90 ,25.0 ,2625 ,300.5 ,,,,,,"Lewis et al., 2009",,,,,
233,Tropical,Tropical rainforest,Africa,Cameroon,,5.33 ,8.86 ,23.9 ,2706 ,243.7 ,,,,,,"Lewis et al., 2009",,,,,
234,Tropical,Tropical rainforest,Africa,Cameroon,,5.33 ,8.86 ,23.9 ,2706 ,268.0 ,,,,,,"Lewis et al., 2009",,,,,
235,Tropical,Tropical rainforest,Africa,Central Af. Rep.,,3.83 ,18.00 ,23.7 ,1677 ,246.0 ,,,,,,"Lewis et al., 2009",,,,,
236,Tropical,Tropical rainforest,Africa,Central Af. Rep.,,3.83 ,18.00 ,23.7 ,1677 ,266.9 ,,,,,,"Lewis et al., 2009",,,,,
237,Tropical,Tropical rainforest,Africa,Cote D'Ivoire,,6.50 ,-5.33 ,26.3 ,1200 ,211.8 ,,,,,,"Lewis et al., 2009",,,,,
238,Tropical,Tropical rainforest,Africa,Cote D'Ivoire,,5.53 ,-4.03 ,26.2 ,1683 ,241.9 ,,,,,,"Lewis et al., 2009",,,,,
239,Tropical,Tropical rainforest,Africa,Cote D'Ivoire,,5.53 ,-4.03 ,26.2 ,1683 ,250.7 ,,,,,,"Lewis et al., 2009",,,,,
240,Tropical,Tropical rainforest,Africa,Cote D'Ivoire,,5.71 ,-4.99 ,26.8 ,1394 ,232.8 ,,,,,,"Lewis et al., 2009",,,,,
241,Tropical,Tropical rainforest,Africa,D. R. Congo,,1.35 ,28.82 ,23.9 ,1701 ,259.6 ,,,,,,"Lewis et al., 2009",,,,,
242,Tropical,Tropical rainforest,Africa,D. R. Congo,,1.44 ,28.58 ,24.2 ,1750 ,185.7 ,,,,,,"Lewis et al., 2009",,,,,
243,Tropical,Tropical rainforest,Africa,D. R. Congo,,1.44 ,28.58 ,24.2 ,1750 ,204.8 ,,,,,,"Lewis et al., 2009",,,,,
244,Tropical,Tropical rainforest,Africa,D. R. Congo,,1.42 ,28.50 ,24.0 ,1779 ,222.5 ,,,,,,"Lewis et al., 2009",,,,,
245,Tropical,Tropical rainforest,Africa,D. R. Congo,,1.45 ,28.42 ,24.1 ,1793 ,251.0 ,,,,,,"Lewis et al., 2009",,,,,
246,Tropical,Tropical rainforest,Africa,D. R. Congo,,1.43 ,28.58 ,24.4 ,1743 ,269.5 ,,,,,,"Lewis et al., 2009",,,,,
247,Tropical,Tropical rainforest,Africa,D. R. Congo,,1.44 ,28.58 ,24.2 ,1750 ,276.5 ,,,,,,"Lewis et al., 2009",,,,,
248,Tropical,Tropical rainforest,Africa,D. R. Congo,,1.33 ,28.60 ,24.3 ,1724 ,300.1 ,,,,,,"Lewis et al., 2009",,,,,
249,Tropical,Tropical rainforest,Africa,D. R. Congo,,1.35 ,28.45 ,24.5 ,1750 ,310.7 ,,,,,,"Lewis et al., 2009",,,,,
250,Tropical,Tropical rainforest,Africa,D. R. Congo,,1.35 ,28.53 ,24.3 ,1745 ,313.8 ,,,,,,"Lewis et al., 2009",,,,,
251,Tropical,Tropical rainforest,Africa,Gabon,,0.50 ,12.80 ,23.6 ,1657 ,227.8 ,,,,,,"Lewis et al., 2009",,,,,
252,Tropical,Tropical rainforest,Africa,Gabon,,0.57 ,12.87 ,24.0 ,1649 ,278.8 ,,,,,,"Lewis et al., 2009",,,,,
253,Tropical,Tropical rainforest,Africa,Gabon,,0.38 ,13.11 ,23.6 ,1662 ,323.8 ,,,,,,"Lewis et al., 2009",,,,,
254,Tropical,Tropical rainforest,Africa,Gabon,,0.73 ,11.37 ,23.1 ,1757 ,266.6 ,,,,,,"Lewis et al., 2009",,,,,
255,Tropical,Tropical rainforest,Africa,Gabon,,-0.17 ,11.42 ,25.2 ,1763 ,256.9 ,,,,,,"Lewis et al., 2009",,,,,
256,Tropical,Tropical rainforest,Africa,Gabon,,-0.43 ,11.43 ,24.9 ,1825 ,218.6 ,,,,,,"Lewis et al., 2009",,,,,
257,Tropical,Tropical rainforest,Africa,Gabon,,-0.42 ,11.40 ,25.3 ,1818 ,231.7 ,,,,,,"Lewis et al., 2009",,,,,
258,Tropical,Tropical rainforest,Africa,Ghana,,6.32 ,-0.92 ,25.6 ,1642 ,185.9 ,,,,,,"Lewis et al., 2009",,,,,
259,Tropical,Tropical rainforest,Africa,Ghana,,6.32 ,-0.92 ,25.6 ,1642 ,193.0 ,,,,,,"Lewis et al., 2009",,,,,
260,Tropical,Tropical rainforest,Africa,Ghana,,7.14 ,-2.45 ,25.9 ,1212 ,129.2 ,,,,,,"Lewis et al., 2009",,,,,
261,Tropical,Tropical rainforest,Africa,Ghana,,6.48 ,-2.17 ,25.6 ,1434 ,158.0 ,,,,,,"Lewis et al., 2009",,,,,
262,Tropical,Tropical rainforest,Africa,Ghana,,6.56 ,-2.22 ,25.7 ,1416 ,179.3 ,,,,,,"Lewis et al., 2009",,,,,
263,Tropical,Tropical rainforest,Africa,Ghana,,5.97 ,-3.03 ,26.6 ,1658 ,65.5 ,,,,,,"Lewis et al., 2009",,,,,
264,Tropical,Tropical rainforest,Africa,Ghana,,5.97 ,-3.03 ,26.6 ,1658 ,76.6 ,,,,,,"Lewis et al., 2009",,,,,
265,Tropical,Tropical rainforest,Africa,Ghana,,4.80 ,-2.05 ,25.6 ,1678 ,130.9 ,,,,,,"Lewis et al., 2009",,,,,
266,Tropical,Tropical rainforest,Africa,Ghana,,5.99 ,-3.03 ,26.5 ,1648 ,195.6 ,,,,,,"Lewis et al., 2009",,,,,
267,Tropical,Tropical rainforest,Africa,Ghana,,5.99 ,-3.03 ,26.5 ,1648 ,203.6 ,,,,,,"Lewis et al., 2009",,,,,
268,Tropical,Tropical rainforest,Africa,Ghana,,4.85 ,-2.10 ,26.0 ,1734 ,247.5 ,,,,,,"Lewis et al., 2009",,,,,
269,Tropical,Tropical rainforest,Africa,Liberia,,5.41 ,-7.61 ,25.9 ,2329 ,177.3 ,,,,,,"Lewis et al., 2009",,,,,
